Title,AlbumTitle,TrackArtist,AlbumArtist,Genre,Year,Duration,PlayCount,TrackNumber,Path
goosebumps,Birds in the Trap Sing McKnight,Travis Scott,Travis Scott,Rap/Hip Hop,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/Birds In The Trap Sing McKnight/09 goosebumps.mp3
Chanel,Chanel,Frank Ocean,Frank Ocean,Pop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/Chanel/1-01 Chanel.mp3
PRIDE.,DAMN.,Kendrick Lamar,Kendrick Lamar,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/DAMN_/1-07 PRIDE..mp3
D4L,Dark Lane Demo Tapes,"Drake, Future, Young Thug",Drake,Rap/Hip Hop,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Drake/Dark Lane Demo Tapes/1-09 D4L.mp3
RISE! (feat. DAISY WORLD),CALL ME IF YOU GET LOST,"Tyler, The Creator","Tyler, The Creator",Rap/Hip Hop,,0:0,0,12,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tyler, The Creator/CALL ME IF YOU GET LOST/12 RISE! (feat. DAISY WORLD).mp3"
notice me,"oh, how perfect",Role Model,Role Model,Pop,,0:0,0,4,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Role Model/oh, how perfect/04 notice me.mp3"
Follow God,JESUS IS KING,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/JESUS IS KING/1-03 Follow God.mp3
Alright,To Pimp A Butterfly,Kendrick Lamar,Kendrick Lamar,Rap/Hip Hop,,0:0,0,07,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/To Pimp A Butterfly/07 Alright.mp3
Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,Alicia Keys,(13),,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Alicia Keys/Girl on Fire (Remixes) - EP/1-01 Girl on Fire.mp3
family ties,family ties,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/family ties/01 family ties.mp3
PGT,PARTYMOBILE,PARTYNEXTDOOR,PARTYNEXTDOOR,R&B,,0:0,0,12,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/PARTYNEXTDOOR/PARTYMOBILE/1-12 PGT.mp3
claws,how i'm feeling now,Charli XCX,Charli XCX,Pop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Charli XCX/how i'm feeling now/03 claws.mp3
19.10,3.15.20,Childish Gambino,Childish Gambino,(13),,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Childish Gambino/3.15.20/1-05 19.10.mp3
Guessing Games,Guessing Games,Dev Lemons,Dev Lemons,Electro,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Dev Lemons/Guessing Games/1-01 Guessing Games.mp3
Chi Kareli,The Best,TATA SIMONYAN,TATA SIMONYAN,Pop,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/TATA SIMONYAN/The Best/1-09 Chi Kareli.mp3
Why Worry,Why Worry,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/Why Worry/1-01 Why Worry.mp3
Chanel ,Chanel (feat. A$AP Rocky),"Frank Ocean, A$AP Rocky",Frank Ocean,(13),,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/Chanel (feat. A$AP Rocky)/01 Chanel.mp3
Glitter,Flower Boy,"Tyler, The Creator","Tyler, The Creator",Rap/Hip Hop,,0:0,0,13,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tyler, The Creator/Flower Boy/13 Glitter.mp3"
ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator","Tyler, The Creator",Rap/Hip Hop,,0:0,0,12,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tyler, The Creator/IGOR/1-12 ARE WE STILL FRIENDS_.mp3"
Gone,Charli,Charli XCX,Charli XCX,Pop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Charli XCX/Charli/02 Gone.mp3
Kylo Ren Arrives at the Battle,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),John Williams,John Williams,Films/Games,,0:0,0,13,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/John Williams/Star Wars_ The Force Awakens (Original M/13 Kylo Ren Arrives at the Battle.mp3
Is It True,The Slow Rush,Tame Impala,Tame Impala,Alternative,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tame Impala/The Slow Rush/1-09 Is It True.mp3
Next,Trilogy,The Weeknd,The Weeknd,R&B,,0:0,0,8,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/The Weeknd/Trilogy/3-08 Next.mp3
Piss On Your Grave (feat. Kanye West) ,Rodeo,Travis Scott,Travis Scott,Rap/Hip Hop,,0:0,0,8,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/Rodeo/08 Piss On Your Grave (feat. Kanye W.mp3
Silly Watch,Eternal Atake,Lil Uzi Vert,Lil Uzi Vert,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Lil Uzi Vert/Eternal Atake/1-03 Silly Watch.mp3
